ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
728,CHARMM36-LJPME,DPPC (1),323.0,31.0,0.7403,0.7976,,0.7976
463,Slipids,DPPC (1),323.0,30.0,0.5802,0.6369,,0.6369
911,CHARMM36,DPPC (1),322.0,41.1,0.2489,0.5992,,0.5992
319,CHARMM36,DPPC (1),323.0,30.4,0.3746,0.5944,,0.5944
390,GAFFlipid,DPPC (1),323.0,30.5,0.3819,0.5881,,0.5881
254,CHARMM36,DPPC (1),333.15,50.0,0.2253,0.1645,,0.1645
309,CHARMM36,DPPC (1),333.15,50.0,0.216,0.162,,0.162
27,CHARMM36,DPPC (1),333.15,50.0,0.1766,0.1136,,0.1136
365,Poger GROMOS 53A6_L,DPPC (1),323.0,45.6,0.9644,0.0759,,0.0759
545,Poger GROMOS 53A6_L; Reaction Field for computing electrostatics,DPPC (1),323.0,45.6,0.9353,0.0566,,0.0566
267,Poger GROMOS 53A6_L; Reaction Field for computing electrostatics,DPPC (1),323.0,45.6,0.9752,0.047,,0.047
593,Poger GROMOS 53A6_L,DPPC (1),323.0,45.6,0.9712,0.043,,0.043
472,OPLSAA-compatible Berger-DPPC-06,DPPC (1),323.0,40.0,0.3529,0.0137,,0.0137
41,Berger-DPPC-98,DPPC (1),323.0,40.0,0.6449,0.0105,,0.0105
